,시도,시군구,계약종별,년도,월,전력 사용량
233,부산광역시,해운대구,산업용,2022,1월,21398992.0
234,부산광역시,해운대구,농사용,2022,1월,142213.0
235,부산광역시,해운대구,가로등,2022,1월,1596841.0
236,부산광역시,해운대구,심 야,2022,1월,1812486.0
237,부산광역시,사하구,주택용,2022,1월,39973365.0
238,부산광역시,사하구,일반용,2022,1월,39208788.0
239,부산광역시,사하구,교육용,2022,1월,3820476.0
240,부산광역시,사하구,산업용,2022,1월,139378916.0
241,부산광역시,사하구,농사용,2022,1월,260181.0
242,부산광역시,사하구,가로등,2022,1월,1106779.0
243,부산광역시,사하구,심 야,2022,1월,1916161.0
244,부산광역시,금정구,주택용,2022,1월,30843331.0
245,부산광역시,금정구,일반용,2022,1월,37022988.0
246,부산광역시,금정구,교육용,2022,1월,7550602.0
247,부산광역시,금정구,산업용,2022,1월,22905453.0
248,부산광역시,금정구,농사용,2022,1월,742263.0
249,부산광역시,금정구,가로등,2022,1월,1207984.0
250,부산광역시,금정구,심 야,2022,1월,2442087.0
251,부산광역시,강서구,주택용,2022,1월,20015955.0
252,부산광역시,강서구,일반용,2022,1월,55435722.0
253,부산광역시,강서구,교육용,2022,1월,950973.0
254,부산광역시,강서구,산업용,2022,1월,301841632.0
255,부산광역시,강서구,농사용,2022,1월,8779896.0
256,부산광역시,강서구,가로등,2022,1월,2413640.0
257,부산광역시,강서구,심 야,2022,1월,2937139.0
258,부산광역시,연제구,주택용,2022,1월,28545440.0
259,부산광역시,연제구,일반용,2022,1월,36479662.0
260,부산광역시,연제구,교육용,2022,1월,1460296.0
261,부산광역시,연제구,산업용,2022,1월,5537006.0
262,부산광역시,연제구,농사용,2022,1월,20031.0
263,부산광역시,연제구,가로등,2022,1월,579595.0
264,부산광역시,연제구,심 야,2022,1월,1334358.0
265,부산광역시,수영구,주택용,2022,1월,24984106.0
266,부산광역시,수영구,일반용,2022,1월,29070576.0
267,부산광역시,수영구,교육용,2022,1월,640869.0
268,부산광역시,수영구,산업용,2022,1월,1233732.0
269,부산광역시,수영구,농사용,2022,1월,48139.0
270,부산광역시,수영구,가로등,2022,1월,484172.0
271,부산광역시,수영구,심 야,2022,1월,1184606.0
272,부산광역시,사상구,주택용,2022,1월,26715047.0
273,부산광역시,사상구,일반용,2022,1월,39902449.0
274,부산광역시,사상구,교육용,2022,1월,4312840.0
275,부산광역시,사상구,산업용,2022,1월,75142041.0
276,부산광역시,사상구,농사용,2022,1월,146015.0
277,부산광역시,사상구,가로등,2022,1월,935641.0
278,부산광역시,사상구,심 야,2022,1월,1843209.0
279,부산광역시,기장군,주택용,2022,1월,13659571.0
280,부산광역시,기장군,일반용,2022,1월,35061076.0
281,부산광역시,기장군,교육용,2022,1월,1083295.0
282,부산광역시,기장군,산업용,2022,1월,57307115.0
283,부산광역시,기장군,농사용,2022,1월,3581923.0
284,부산광역시,기장군,가로등,2022,1월,1593622.0
285,부산광역시,기장군,심 야,2022,1월,3280975.0
286,대구광역시,중구,주택용,2022,1월,11925642.0
287,대구광역시,중구,일반용,2022,1월,48356376.0
288,대구광역시,중구,교육용,2022,1월,1383884.0
289,대구광역시,중구,산업용,2022,1월,2814313.0
290,대구광역시,중구,농사용,2022,1월,22173.0
291,대구광역시,중구,가로등,2022,1월,738898.0
292,대구광역시,중구,심 야,2022,1월,1057334.0
293,대구광역시,동구,주택용,2022,1월,46341713.0
294,대구광역시,동구,일반용,2022,1월,75226049.0
295,대구광역시,동구,교육용,2022,1월,3358741.0
296,대구광역시,동구,산업용,2022,1월,12410089.0
297,대구광역시,동구,농사용,2022,1월,1809329.0
298,대구광역시,동구,가로등,2022,1월,2162918.0
299,대구광역시,동구,심 야,2022,1월,5501767.0
300,대구광역시,서구,주택용,2022,1월,21115757.0
301,대구광역시,서구,일반용,2022,1월,29647408.0
302,대구광역시,서구,교육용,2022,1월,1480037.0
303,대구광역시,서구,산업용,2022,1월,29866117.0
304,대구광역시,서구,농사용,2022,1월,27359.0
305,대구광역시,서구,가로등,2022,1월,729629.0
306,대구광역시,서구,심 야,2022,1월,1998752.0
307,대구광역시,남구,주택용,2022,1월,19538782.0
308,대구광역시,남구,일반용,2022,1월,30430105.0
309,대구광역시,남구,교육용,2022,1월,3287326.0
310,대구광역시,남구,산업용,2022,1월,1040692.0
311,대구광역시,남구,농사용,2022,1월,28562.0
312,대구광역시,남구,가로등,2022,1월,532576.0
313,대구광역시,남구,심 야,2022,1월,3152564.0
314,대구광역시,북구,주택용,2022,1월,56747720.0
315,대구광역시,북구,일반용,2022,1월,77425946.0
316,대구광역시,북구,교육용,2022,1월,10529021.0
317,대구광역시,북구,산업용,2022,1월,67932286.0
318,대구광역시,북구,농사용,2022,1월,841860.0
319,대구광역시,북구,가로등,2022,1월,2027716.0
320,대구광역시,북구,심 야,2022,1월,3230050.0
321,대구광역시,수성구,주택용,2022,1월,57941216.0
322,대구광역시,수성구,일반용,2022,1월,72573528.0
323,대구광역시,수성구,교육용,2022,1월,4822649.0
324,대구광역시,수성구,산업용,2022,1월,19130582.0
325,대구광역시,수성구,농사용,2022,1월,562708.0
326,대구광역시,수성구,가로등,2022,1월,1682497.0
